Initial Text,Cleaned Text
" I`d have responded, if I were going",I had I would have responded if i were going
 Sooo SAD I will miss you here in San Diego!!!,soo sad i will miss you here in san diego
my boss is bullying me...,my bos is bullying me
 what interview! leave me alone,what interview leave me alone
" Sons of ****, why couldn`t they put them on the releases we already bought",son of why could not they put them on the release we already bought
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,some shameless plugging for the best ranger forum on earth
2am feedings for the baby are fun when he is all smiles and coos,am feeling for the baby are fun when he is all smile and cool
Soooo high,soo high
 Both of you,both of you
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),journey wow you just became cooler here is that possible
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",a much a i love to be hopeful i reckon the chance are minimal p I am never going to get my cake and stuff
I really really like the song Love Story by Taylor Swift,i really really like the song love story by taylor swift
My Sharpie is running DANGERously low on ink,my share is running dangerously low on ink
i want to go to music tonight but i lost my voice.,i want to go to music tonight but i lost my voice
test test from the LG enV2,test test from the lg env
"Uh oh, I am sunburned",uh oh i am sunburned
" S`ok, trying to plot alternatives as we speak *sigh*",s ok trying to plot alternative a we speak sigh
