Initial Text,Cleaned Text
" I`d have responded, if I were going",i had have responded if i were going
 Sooo SAD I will miss you here in San Diego!!!,soo sad i will miss you here in
my boss is bullying me...,my bos is bullying me
 what interview! leave me alone,what interview leave me alone
" Sons of ****, why couldn`t they put them on the releases we already bought",son of why could not they put them on the release we already bought
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,some shameless plugging for the best forum on earth
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),journey wow you just became cooler here is that possible
I really really like the song Love Story by Taylor Swift,i really really like the song love story by
My Sharpie is running DANGERously low on ink,my is running dangerously low on ink
i want to go to music tonight but i lost my voice.,i want to go to music but i lost my voice
test test from the LG enV2,test test from the env2
"Uh oh, I am sunburned",uh oh i am sunburned
" S`ok, trying to plot alternatives as we speak *sigh*",s ok trying to plot alternative a we speak sigh
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",i have been sick for the past few day and thus my hair look weird if i did not have a hat on it would look
is back home now      gonna miss every one,is back home now going to miss every one
Hes just not that into you,he just not that into you
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",oh early i am so sorry i hope you find her soon three three
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,playing ghost online is really interesting the new update are pet and for third job cannot wait to have a dragon pet
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,have got a restart my computer i thought win7 wa supposed to put an end to the constant rebootiness
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,see wat i mean bout full0w friday called lose f0flowers friday smh
"the free fillin` app on my ipod is fun, im addicted",the free filling app on my ipod is fun im addicted
  I`m sorry.,i am sorry
On the way to Malaysia...no internet access to Twit,on the way to no internet access to
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,just came back from oh my josh it made fun out there havent been out there in a minute whassqoodd
Went to sleep and there is a power cut in Noida  Power back up not working too,went to sleep and there is a power cut in power back up not working too
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,i am going home now have you seen my new twitter design quite heavenly isn
i hope unni will make the audition . fighting dahye unni !,i hope uni will make the audition fighting date uni
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,if it is any consolation i got my bmi tested haha it say i am obese well so much for being unhappy for
 That`s very funny.  Cute kids.,very funny cute kid
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",ah i slept through the game i am going to try my best to watch tomorrow though i hope we play
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,and raised in nyc and living in for the past ten year i still miss ny
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",just in case you wonder we are really busy today and this coming with with adding ton of new blog and update stay tuned
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,i am soo sleepy the last day o school wa today sniff
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",a little happy for the wine jee ok it sm my free time so who care java i love this day
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",car not happy big big dent in boot hoping theyre not going to write it off crossing finger and waiting
im an avid fan of **** magazine and i love your magazines,im an avid fan of magazine and i love your magazine
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,i love to but i am only available from and where dear would love to help convert her kid
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,the girl in the hair salon asked me shall i trim your eyebrow how old do i feel
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,egh blah and boo i dunno wannago to work hangover suck im a drunk mess
:visiting my friendster and facebook,visiting my friendster and facebook
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",i doubt like to peel pawn i also do not like going shopping running out of money and crawling round the car looking for more
