Initial Text,Cleaned Text
" I`d have responded, if I were going",i ` d have respond if i were go
 Sooo SAD I will miss you here in San Diego!!!,soon sad i will miss you here in san diego
my boss is bullying me...,my bos is bulli me
 what interview! leave me alone,what interview leav me alon
" Sons of ****, why couldn`t they put them on the releases we already bought",son of whi couldn ` t they put them on the releas we alreadi bought
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,some shameless plug for the best ranger forum on earth
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),journey wow u just becam cooler here is that possibl
I really really like the song Love Story by Taylor Swift,i realli realli like the song love stori by taylor swift
My Sharpie is running DANGERously low on ink,my share is run danger low on ink
i want to go to music tonight but i lost my voice.,i want to go to music tonight but i lost my voic
test test from the LG enV2,test test from the lg env
"Uh oh, I am sunburned",uh oh i am sunburn
" S`ok, trying to plot alternatives as we speak *sigh*",s ` ok tri to plot altern a we speak sigh
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",i ` ve been sick for the past few day and thus my hair look weird if i didnt have a hat on it would look
is back home now      gonna miss every one,is back home now gon na miss everi one
Hes just not that into you,he just not that into you
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",oh earli i ` m so sorri i hope you find her soon
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,play ghost onlin is realli interest the new updat are keirin pet and metamorph for third job can ` t wait to have a dragon pet
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,got ta restart my comput i thought win wa suppos to put an end to the constant rebooti
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,see wat i mean bout follow friday it ` s call lose flower friday smh
"the free fillin` app on my ipod is fun, im addicted",the free fill ` app on my ipod is fun im addict
  I`m sorry.,i ` m sorri
On the way to Malaysia...no internet access to Twit,on the way to malaysian internet access to twin
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,just came back from berkeley omg it made fun out there havent been out there in a minut whassqoodd
Went to sleep and there is a power cut in Noida  Power back up not working too,went to sleep and there is a power cut in noid power back up not work too
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,i ` m go home now have you seen my new twitter design quiteheaven isn `
i hope unni will make the audition . fighting dahye unni !,i hope uni will make the audit fight date uni
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,if it is ani consol i got my bmi test haha it say i am obes well so much for be unhappi for about minut
 That`s very funny.  Cute kids.,that ` s veri funni cute kid
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",hhh i slept through the game i ` m gon na tri my best to watch tomorrow though i hope we play armi
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,born and rais in nyc and live in texa for the past year i still miss ny
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",just in case you wonder we are realli busi today and this come with with ad ton of new blog and updat stay tune
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,i ` m soooooo sleeeeepi the last day o ` school wa todaysniffl
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",a littl happi for the wine jee ok it ` sm my free time so who care java i love this day
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",car not happi big big dent in boot hope theyr not go to write it off cross finger and wait
im an avid fan of **** magazine and i love your magazines,im an avid fan of magazin and i love your magazin
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,i love to but i ` m onli avail from pm and where dear would love to help convert her video
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,the girl in the hair salon ask me shall i trim your eyebrow how old do i feel
